000001|0000000001          |0002|000| |Y| | | | | | | | | | |N|492         |492         |            |                         |                                        |                                                  |80147p.cntr.grp               |00001|00002|1
000001|0000000001          |0002|000| |Y| | | | | | | | | | |N|492         |492         |            |                         |                                        |                                                  |80147p.cntr.grp               |00001|00002|0
000002|0000000002          |0002|000| |Y| | | | | | | | | | |N|SR1         |SR1         |            |                         |                                        |                                                  |80147p.cntr.grp               |00001|00002|1
000002|0000000002          |0002|000| |Y| | | | | | | | | | |N|SR1         |SR1         |            |                         |                                        |                                                  |80147p.cntr.grp               |00001|00002|0
000003|0000000003          |0002|000| |Y| | | | | | | | | | |N|SR1         |SR1         |            |                         |                                        |                                                  |80147p.cntr.grp               |00001|00002|1
000003|0000000003          |0002|000| |Y| | | | | | | | | | |N|SR1         |SR1         |            |                         |                                        |                                                  |80147p.cntr.grp               |00001|00002|0
000004|0000000004          |0002|000| |Y| | | | | | | | | | |N|301         |301         |            |                         |                                        |                                                  |80147p.cntr.grp               |00001|00002|1
000004|0000000004          |0002|000| |Y| | | | | | | | | | |N|301         |301         |            |                         |                                        |                                                  |80147p.cntr.grp               |00001|00002|0
000005|0000000005          |0002|000| |Y| | | | | | | | | | |N|834         |834         |            |                         |                                        |                                                  |80147p.cntr.grp               |00001|00002|1
000005|0000000005          |0002|000| |Y| | | | | | | | | | |N|834         |834         |            |                         |                                        |                                                  |80147p.cntr.grp               |00001|00002|0
000006|0000000006          |0002|000| |Y| | | | | | | | | | |N|280         |280         |            |                         |                                        |                                                  |80147p.cntr.grp               |00001|00002|1
000006|0000000006          |0002|000| |Y| | | | | | | | | | |N|280         |280         |            |                         |                                        |                                                  |80147p.cntr.grp               |00001|00002|0
000007|0000000007          |0002|000| |Y| | | | | | | | | | |N|178         |178         |            |                         |                                        |                                                  |80147p.cntr.grp               |00001|00002|1
000007|0000000007          |0002|000| |Y| | | | | | | | | | |N|178         |178         |            |                         |                                        |                                                  |80147p.cntr.grp               |00001|00002|0
000008|0000000008          |0002|000| |Y| | | | | | | | | | |N|104         |104         |            |                         |                                        |                                                  |80147p.cntr.grp               |00001|00002|1
000008|0000000008          |0002|000| |Y| | | | | | | | | | |N|104         |104         |            |                         |                                        |                                                  |80147p.cntr.grp               |00001|00002|0
000009|0000000009          |0002|000| |Y| | | | | | | | | | |N|816         |816         |            |                         |                                        |                                                  |80147p.cntr.grp               |00001|00002|1
000009|0000000009          |0002|000| |Y| | | | | | | | | | |N|816         |816         |            |                         |                                        |                                                  |80147p.cntr.grp               |00001|00002|0
000010|0000000010          |0002|000| |Y| | | | | | | | | | |N|333         |333         |            |                         |                                        |                                                  |80147p.cntr.grp               |00001|00002|1
000010|0000000010          |0002|000| |Y| | | | | | | | | | |N|333         |333         |            |                         |                                        |                                                  |80147p.cntr.grp               |00001|00002|0
000011|0000000011          |0002|000| |Y| | | | | | | | | | |N|379         |379         |            |                         |                                        |                                                  |80147p.cntr.grp               |00001|00002|1
000011|0000000011          |0002|000| |Y| | | | | | | | | | |N|379         |379         |            |                         |                                        |                                                  |80147p.cntr.grp               |00001|00002|0
000012|0000000012          |0002|000| |Y| | | | | | | | | | |N|818         |818         |            |                         |                                        |                                                  |80147p.cntr.grp               |00001|00002|1
000012|0000000012          |0002|000| |Y| | | | | | | | | | |N|818         |818         |            |                         |                                        |                                                  |80147p.cntr.grp               |00001|00002|0
000013|0000000013          |0002|000| |Y| | | | | | | | | | |N|379         |379         |            |                         |                                        |                                                  |80147p.cntr.grp               |00001|00002|1
000013|0000000013          |0002|000| |Y| | | | | | | | | | |N|379         |379         |            |                         |                                        |                                                  |80147p.cntr.grp               |00001|00002|0
000014|0000000014          |0002|000| |Y| | | | | | | | | | |N|492         |492         |            |                         |                                        |                                                  |80147p.cntr.grp               |00001|00002|1
000014|0000000014          |0002|000| |Y| | | | | | | | | | |N|492         |492         |            |                         |                                        |                                                  |80147p.cntr.grp               |00001|00002|0
000015|0000000015          |0002|000| |Y| | | | | | | | | | |N|178         |178         |            |                         |                                        |                                                  |80147p.cntr.grp               |00001|00002|1
000015|0000000015          |0002|000| |Y| | | | | | | | | | |N|178         |178         |            |                         |                                        |                                                  |80147p.cntr.grp               |00001|00002|0
000016|0000000016          |0002|000| |Y| | | | | | | | | | |N|104         |104         |            |                         |                                        |                                                  |80147p.cntr.grp               |00001|00002|1
000016|0000000016          |0002|000| |Y| | | | | | | | | | |N|104         |104         |            |                         |                                        |                                                  |80147p.cntr.grp               |00001|00002|0
000017|0000000017          |0002|000| |Y| | | | | | | | | | |N|492         |492         |            |                         |                                        |                                                  |80147p.cntr.grp               |00001|00002|1
000017|0000000017          |0002|000| |Y| | | | | | | | | | |N|492         |492         |            |                         |                                        |                                                  |80147p.cntr.grp               |00001|00002|0
000018|0000000018          |0002|000| |Y| | | | | | | | | | |N|492         |492         |            |                         |                                        |                                                  |80147p.cntr.grp               |00001|00002|1
000018|0000000018          |0002|000| |Y| | | | | | | | | | |N|492         |492         |            |                         |                                        |                                                  |80147p.cntr.grp               |00001|00002|0
000019|0000000019          |0002|000| |Y| | | | | | | | | | |N|492         |492         |            |                         |                                        |                                                  |80147p.cntr.grp               |00001|00002|1
000019|0000000019          |0002|000| |Y| | | | | | | | | | |N|492         |492         |            |                         |                                        |                                                  |80147p.cntr.grp               |00001|00002|0
000020|0000000020          |0002|000| |Y| | | | | | | | | | |N|SR1         |SR1         |            |                         |                                        |                                                  |80147p.cntr.grp               |00001|00002|1
000020|0000000020          |0002|000| |Y| | | | | | | | | | |N|SR1         |SR1         |            |                         |                                        |                                                  |80147p.cntr.grp               |00001|00002|0
000021|0000000021          |0002|000| |Y| | | | | | | | | | |N|SR1         |SR1         |            |                         |                                        |                                                  |80147p.cntr.grp               |00001|00002|1
000021|0000000021          |0002|000| |Y| | | | | | | | | | |N|SR1         |SR1         |            |                         |                                        |                                                  |80147p.cntr.grp               |00001|00002|0
000022|0000000022          |0004|000| |Y| | | | | | | | | | |N|F01         |F01         |            |                         |                                        |                                                  |80147p.cntr.grp               |00001|00004|1
000022|0000000022          |0004|000| |Y| | | | | | | | | | |N|F01         |F01         |            |                         |                                        |                                                  |80147p.cntr.grp               |00001|00004|0
000022|0000000022          |0004|001| |Y| | | | | | | | | | |N|F01         |F01         |            |                         |                                        |                                                  |80147p.cntr.grp               |00001|00004|0
000022|0000000022          |0004|001| |Y| | | | | | | | | | |N|F01         |F01         |            |                         |                                        |                                                  |80147p.cntr.grp               |00001|00004|0
000023|0000000023          |0002|000| |Y| | | | | | | | | | |N|F03         |F03         |            |                         |                                        |                                                  |80147p.cntr.grp               |00001|00002|1
000023|0000000023          |0002|000| |Y| | | | | | | | | | |N|F03         |F03         |            |                         |                                        |                                                  |80147p.cntr.grp               |00001|00002|0
000024|0000000024          |0002|000| |Y| | | | | | | | | | |N|815         |815         |            |                         |                                        |                                                  |80147p.cntr.grp               |00001|00002|1
000024|0000000024          |0002|000| |Y| | | | | | | | | | |N|815         |815         |            |                         |                                        |                                                  |80147p.cntr.grp               |00001|00002|0
